69,Stropkov ,Stroppkau ,Sztropkó ,10 729 ,Prešovský kraj
70,Šurany ,- ,Nagysurány ,10 491 ,Nitranský kraj
71,Stará Turá ,Alt-Turn ,Ótura ,10 291 ,Trenčínský kraj
72,Fiľakovo ,Fileck ,Fülek ,10 198 ,Banskobystrický kraj
73,Veľké Kapušany ,- ,Nagykapos ,9 760 ,Košický kraj
74,Tvrdošín ,Turdoschin ,Turdossin ,9 544 ,Žilinský kraj
75,Moldava nad Bodvou ,Moldau an der Bodwa ,Szepsi ,9 525 ,Košický kraj
76,Vráble ,- ,Verebély ,9 493 ,Nitranský kraj
77,Veľký Meder ,- ,Nagymegyer ,9 113 ,Trnavský kraj
79,Krompachy ,Krompach ,Korompa ,8 812 ,Košický kraj
80,Modra ,Modern ,Modor ,8 536 ,Bratislavský kraj
81,Hriňová ,Hrinau ,Herencsvölgy ,8 289 ,Banskobystrický kraj
82,Liptovský Hrádok ,Liptau-Hradek ,Liptóújvár ,8 232 ,Žilinský kraj
83,Tornaľa ,- ,Tornalya/Tornalja ,8 169 ,Banskobystrický kraj
78,Hurbanovo ,Altdala ,Ógyalla/Ó Gyalla ,9 022 ,Nitranský kraj
84,Námestovo ,- ,Námesztó ,8 135 ,Žilinský kraj
85,Stupava ,Stampfen ,Stomfa/Stompfa ,8 063 ,Bratislavský kraj
86,Šahy ,Eipelschlag ,Ipolyság ,8 061 ,Nitranský kraj
87,Kráľovský Chlmec ,- ,Királyhelmecz/Királyhelmec ,8 031 ,Košický kraj
88,Krupina ,Karpfen ,Korpona ,7 991 ,Banskobystrický kraj
89,Turzovka ,- ,Turzófalva ,7 854 ,Žilinský kraj
90,Sečovce ,- ,Gálszécs ,7 819 ,Košický kraj
91,Hnúšťa ,Nusten ,Nyustya ,7 557 ,Banskobystrický kraj
92,Želiezovce ,Zelis ,Zselíz ,7 522 ,Nitranský kraj
93,Nová Baňa ,Königsberg ,Újbánya ,7 505 ,Banskobystrický kraj
94,Trstená ,- ,Trsztena ,7 461 ,Žilinský kraj
95,Svit ,- ,Szvit ,7 445 ,Prešovský kraj
96,Vrútky ,Ruttek ,Ruttka ,7 298 ,Žilinský kraj
